Sirop de ciocolata Nesquik,1,1,1,0,263,0,0,65.8,2.6,,
Sirop fructe de padure Laurul,1,1,1,0,255,0,0,65.9,0,,
Sirop ice tea lamaie Laurul,1,1,1,0,255,0,0,65.9,0,,
Sirop ice tea piersica Laurul,1,1,1,0,255,0,0,65.9,0,,
Sirop lamaie Laurul,1,1,1,0,255,0,0,65.9,0,,
Sirop portocale Yo,1,1,1,0,310,0.1,0,75,0,,
Sirop soc Laurul,1,1,1,0,255,0,0,65.9,0,,
Sirop visine Laurul,1,1,1,0,255,0,0,65.9,0,,
Sirop zmeura Laurul,1,1,1,0,255,0,0,65.9,0,,
Smoothie cu capsuni zmeura si coacaze Delhaize,1,1,1,0,48,0.4,0.1,11,0.9,,
Smoothie mango si fructele pasiunii Delhaize,1,1,1,0,50,0.8,0.4,10.9,0,,
Soia de baut natur + Calciu Berief,1,1,1,0,31,2.1,1.1,3,0.2,,
Suc Aloe Vera Paldo,1,1,1,0,44.4,0,5,9.5,0,,
Suc ananas din compot cu zahar,1,1,1,0,56,0,0,13.6,0,,
Suc capsuni Figo,1,1,1,0,36,0.1,0.1,9,0,,
Suc carbogazos light Adria Cola,1,1,1,0,8,0,0,2,0,,
Suc cu lamaie si menta Granini,1,1,1,0,44,0.1,0.1,11,0.2,,
Suc de ananas 100% Dole,1,1,1,0,50.8,0.3,0.1,12.2,0.5,,
Suc de ananas Enjoy,1,1,1,0,52,0,0,13,0,,
Suc de fructe Fruttia deliciu Tutti Frutti,1,1,1,0,42,0.1,0.2,10,0,,
Suc de fructe rosii Active Fitness Pfanner,1,1,1,0,13.2,0.1,0.1,3.2,0.3,,
Suc de grapefruit light Prigat,1,1,1,0,2,0,0,13,0.1,,
Suc de grapefruit roz Happy Day,1,1,1,0,43.8,0.6,0.1,9.6,0.2,,
Suc de legume cu miez Sandora,1,1,1,0,25,1.1,0,4.8,0,,
Suc de mandarine Prigat Activ,1,1,1,0,46,0,0,11.5,0,,
Suc de mere bio Pfanner,1,1,1,0,46,0.2,0,11,0.2,,
Suc de mere Solevita,1,1,1,0,38,0.1,0,9.1,0.1,,
Suc de mere verzi Pfanner,1,1,1,0,50.4,0.1,0.1,11.9,0,,
Suc de piersici Cappy Tempo,1,1,1,0,50,0,0,12.2,0,,
Suc de piersici Ciao,1,1,1,0,29,0.2,0.1,6.8,0,,
Suc de portocale,1,1,1,0,47,0.7,0.2,10.9,0.2,,
Suc de portocale 100% Fruit du monde,1,1,1,0,41,0.7,0.2,9,0,,
Suc de portocale 100% Happy Day,1,1,1,0,45.5,0.7,0.2,9.5,0.1,,
Suc de portocale Granini,1,1,1,0,49,0.5,0.2,12,1.5,,
Suc de portocale light Cappy Tempo,1,1,1,0,3,0,0,0.4,0,,
Suc de portocale light Prigat,1,1,1,0,8,0,0,13,0.1,,
Suc de portocale Prigat,1,1,1,0,45,0,0,11,0,,
Suc de portocale Tymbark Cool,1,1,1,0,28,0.1,0.1,6.8,0,,
Suc de prune Bjorg,1,1,1,0,77,0.3,0,18.8,0.6,,
Suc de rosii Ciao,1,1,1,0,27,0.1,0.5,5.8,0,,
Suc de rosii Fruttia,1,1,1,0,29,1,0.1,6,0,,
Suc de rosii Happy Day Tomate,1,1,1,0,17.5,0.8,0.1,3.2,0.1,,
Suc de rosii Sun Gold,1,1,1,0,15,0.7,0.1,2.7,0,,
Suc de struguri albi 100%,1,1,1,0,67,0,0,16.3,0,,
Suc de struguri rosii 100%,1,1,1,0,72,0,0,18.6,0,,
Suc de tomate Ciao,1,1,1,0,21,0.9,0.1,4,0,,
Suc de visine Prigat,1,1,1,0,48,0,0,14,0,,
Suc dietetic multivitamin Pfanner,1,1,1,0,21,0.1,0.1,4.6,0.1,,
Suc lemon lime Adria,1,1,1,0,7.4,0,0,1.7,0,,
Suc light cu aloe vera Vedda,1,1,1,0,2,0,0,0.4,0,,
Suc mango Phaner,1,1,1,0,47,0.2,0,11.2,0.4,,
Suc mere 50% Sun Gold ,1,1,1,0,38,0.1,0.1,9.5,0,,
Suc mere si zmeura Ciao,1,1,1,0,28,0,0,6.7,0,,
"Suc morcov, capsuni, lamaie verde, mar Tedi Play",1,1,1,0,44,0.1,0,11,0.1,,
"Suc morcovi,mere,portocale Carotella Plus",1,1,1,0,45,0.4,0.1,10.6,1.2,,
Suc multifruct multivitamine fara zahar Pfanner,1,1,1,0,53,0.3,0.1,11.7,0.4,,
Suc natural Aloe Vera King,1,1,1,0,38.3,0,0,9.4,0,,
Suc natural de grapefruit,1,1,1,0,41,0.5,0.1,9.6,0,,
Suc natural de lamaie,1,1,1,0,26,0.4,0,8.9,0.4,,
Suc natural de mere,1,1,1,0,47,0.1,0.1,11.7,0.1,,
Suc natural de mere 100% Santal,1,1,1,0,45,0.1,0.1,11,0,,
Suc natural de merisoare Santal,1,1,1,0,44,0.1,0.1,10.6,0,,
Suc natural de morcovi,1,1,1,0,29,0.8,0,5.8,0.8,,
Suc natural de portocale fara zahar Santal,1,1,1,0,40,0.6,0.2,9,0.3,,
Suc natural de portocale rosii Santal,1,1,1,0,46,0.2,0.1,11,0,,
Suc natural de rodii Santal,1,1,1,0,55,0.1,0.1,13.5,0,,
Suc portocale Active Fitness Pfanner,1,1,1,0,14.1,0.3,0,2.9,0.4,,
Suc portocale Bravo,1,1,1,0,41.1,0.3,0.1,10.6,0.1,,
Suc portocale Cappy Tempo,1,1,1,0,47,0,0,15,0,,
Suc portocale clasic fara zahar Tymbark,1,1,1,0,44,0.6,0.1,10.2,0,,
Suc portocale grecesti Olympus,1,1,1,0,48,0.7,0,11.7,0,,
Suc portocale Hohes C ,1,1,1,0,43,0.5,0.2,9,0.5,,
Suc portocale100% cu pulpa Pfanner,1,1,1,0,43,0.7,0.2,9,0.7,,
Suc rosii Santal,1,1,1,0,20,1.1,0.2,3.5,0.1,,
Suc rosii Tymbark,1,1,1,0,15,0.9,0.2,2.4,0,,
Suc sfecla rosie,1,1,1,0,50,0,0,11.3,2.3,,
Suc struguri Hey Ho,1,1,1,0,20,0.1,0,4.6,0,,
Suc Tazo Giant Peach,1,1,1,0,40,0,0,9.2,0,,
Suc tutti frutti Adria,1,1,1,0,7.4,0,0,1.7,0,,
Suc visine Souplesse,1,1,1,0,11.7,0,0,2.6,0,,
Tedi cu morcovi si banane,1,1,1,0,52,0.3,0.1,12,0,,
Tequila,0,1,1,0,108,0,0,0,0,,
Tequila Sunrise,0,1,1,0,110,0.3,0.1,11.3,0,,
Tuica,0,1,1,0,250,0,0,0,0,,
Vermut 13%,0,1,1,0,158,0,0,15.9,0,,
Vin alb demi-dulce,0,1,1,0,70,0.1,0,2,0,,
Vin alb sec,0,1,1,0,73,0,0,2.4,0,,
Vin demi-sec,0,1,1,0,78,0,0,3.7,0,,
Vin rosu demi-dulce,0,1,1,0,98,0,0,5.5,0,,
Vin rosu demi-sec,0,1,1,0,83,0.1,0,3,0,,
Vin rosu dulce,0,1,1,0,106,0,0,8.2,0,,
Vin rosu sec,0,1,1,0,75,0,0,3,0,,
Vodka,0,1,1,0,231,0,0,0,0,,
Whiskey,0,1,1,0,251,0,0,0.1,0,,
